Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot26,"HB",normal,18,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","22:46:01","22:46:25",
Bot26,"HB",normal,18,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","22:46:30","22:46:56",
Bot26,"HB",normal,18,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","22:47:01","22:47:40",
Bot26,"HB",normal,18,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","22:47:45","22:47:51",
Bot26,"HB",normal,18,Completed,"Boss Hunter","Spawn Point (-8.4 23.9 -0.4)","1","22:47:56","22:48:23",
Bot26,"HB",normal,18,Completed,"Boss Hunter","Spawn Point (-4.5 23.9 -58.9)","1","22:48:28","22:48:40",
Bot26,"HB",normal,18,Completed,"Boss Hunter","Spawn Point (45.6 23.3 -99.8)","1","22:48:45","22:49:28",
Bot26,"HB",normal,18,Completed,"Boss Hunter","Spawn Point (96.3 22.9 -85.2)","1","22:49:33","22:49:44",
Bot26,"HB",normal,18,Completed,"Boss Hunter","Spawn Point (46.4 23.3 -101.5)","1","22:49:49","22:51:15",
Bot26,"HB",normal,18,Completed,"Boss Hunter","Spawn Point (98.9 22.9 -85.0)","1","22:51:20","22:52:01",
Bot26,"HB",normal,18,Completed,"Boss Hunter","Spawn Point (142.9 22.7 -67.6)","1","22:52:06","22:52:24",
Bot26,"HB",normal,18,Failed,"Boss Hunter","Spawn Point (73.8 14.1 -54.4)","1","22:52:29","22:53:27",
Bot27,"Amands2Mello",normal,17,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #5","1","22:46:01","22:46:05",
Bot27,"Amands2Mello",normal,17,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #4","1","22:46:10","22:46:16",
Bot27,"Amands2Mello",normal,17,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #6","1","22:46:21","22:46:22",
Bot27,"Amands2Mello",normal,17,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #3","1","22:46:27","22:46:30",
Bot27,"Amands2Mello",normal,17,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #7","1","22:46:35","22:46:55",
Bot27,"Amands2Mello",normal,17,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #8","1","22:47:00","22:47:20",
Bot31,"Gleneth",hard,11,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:46:04","22:49:11",
Bot30,"Lave",hard,2,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #1","2","22:46:04","22:46:26",
Bot30,"Lave",hard,2,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #3","1","22:46:32","22:46:34",
Bot30,"Lave",hard,2,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #2","2","22:46:39","22:46:54",
Bot30,"Lave",hard,2,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","22:46:59","22:48:45",
Bot38,"matt",hard,3,Pending,"Luxurious Life","Item Bottle of Le Jean wine","1","22:46:15","N/A",
Bot39,"Bnuy",hard,26,Pending,"Boss Hunter","Spawn Point (179.9 17.0 -7.0)","1","22:46:16","N/A",
Bot36,"Nikita",hard,12,Active,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:46:16","N/A",
Bot37,"Barlog_M",hard,28,Pending,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:46:16","N/A",
