Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot59,"snowythefox811",easy,8,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","01:16:49","01:16:56",
Bot59,"snowythefox811",easy,8,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","01:17:01","01:17:58",
Bot59,"snowythefox811",easy,8,Active,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","01:18:04","N/A",
Bot58,"JustAShepard",normal,2,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","01:16:49","01:17:11",
Bot58,"JustAShepard",normal,2,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","01:17:16","01:18:11",
Bot58,"JustAShepard",normal,2,Active,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","01:18:16","N/A",
Bot62,"Glukhar_111",easy,4,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","01:16:55","01:17:18",
Bot63,"hacker228",easy,5,Active,"Luxurious Life","Item Bottle of Le Jean wine","1","01:16:55","N/A",
Bot64,"ObiOne",hard,6,Pending,"Capital Insight Sniping","Capital Insight Sniping: Objective #1","1","01:16:56","N/A",
Bot64,"ObiOne",hard,6,Active,"Capital Insight Sniping","Capital Insight Sniping: Objective #2","2","01:17:11","N/A",
Bot65,"wara",hard,21,Pending,"Tarbank Upstairs Sniping","Tarbank Upstairs Sniping: Objective #2","1","01:16:56","N/A",
