Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot34,"Kiki",easy,27,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","15:46:06","15:46:25",
Bot34,"Kiki",easy,27,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","15:46:30","15:46:48",
Bot34,"Kiki",easy,27,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","15:46:53","15:48:44",
Bot36,"VIPkiller17",hard,5,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","15:46:06","15:46:45",
Bot36,"VIPkiller17",hard,5,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","15:46:50","15:51:24",
Bot35,"kmyuhkyuk",easy,18,Failed,"TerraGroup Office Camping","TerraGroup Office Camping: Objective #1","2","15:46:06","15:48:08",
Bot40,"TGDelta2455",normal,6,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","15:46:11","16:02:38",
Bot39,"Terkoiz",normal,24,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","15:46:12","15:51:32",
Bot39,"Terkoiz",normal,24,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","15:51:37","15:51:50",
Bot39,"Terkoiz",normal,24,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","15:51:55","15:52:32",
Bot39,"Terkoiz",normal,24,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #1","1","15:52:37","15:53:55",
Bot39,"Terkoiz",normal,24,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #2","1","15:54:00","15:56:06",
Bot39,"Terkoiz",normal,24,Completed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #2","1","15:56:11","15:57:22",
Bot39,"Terkoiz",normal,24,Completed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #3","1","15:57:27","15:57:38",
Bot39,"Terkoiz",normal,24,Failed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #1","1","15:57:43","16:00:59",
Bot43,"nektoNick",hard,3,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","15:46:17","15:53:23",
Bot42,"bitwarrior",hard,20,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","15:46:17","15:52:39",
Bot41,"Claus1978",hard,7,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","15:46:17","15:53:19",
Bot53,"agavalda",easy,12,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","15:49:47","15:51:01",
Bot54,"T90Commander",easy,5,Failed,"Olive Restaurant","Olive Restaurant: Objective #5","1","15:49:47","15:51:14",
Bot61,"Ilhsiek",hard,5,Failed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","15:51:06","15:51:21",
Bot62,"Helldiver",easy,15,Failed,"Kyshperski","Kyshperski: Objective #3","1","15:51:21","15:52:14",
Bot66,"Goewert",normal,5,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","15:52:55","16:01:49",
Bot65,"lualeet",normal,11,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","15:52:55","15:54:59",
Bot65,"lualeet",normal,11,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","15:55:04","15:55:10",
Bot65,"lualeet",normal,11,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","15:55:16","15:56:02",
Bot65,"lualeet",normal,11,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","15:56:07","16:00:16",
Bot67,"alexkarpen",normal,3,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","15:52:55","15:53:01",
Bot67,"alexkarpen",normal,3,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","15:53:06","15:58:46",
Bot68,"weardo98",hard,11,Failed,"Underground South","Underground South: Objective #4","1","15:53:29","15:55:26",
Bot68,"weardo98",hard,11,Failed,"Underground South","Underground South: Objective #3","1","15:55:31","15:57:28",
Bot76,"gasmo",normal,2,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","15:56:07","15:58:03",
Bot75,"HiddenCirno",normal,13,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","15:56:07","15:58:34",
Bot79,"Гурам Тусовщик (Lacyway)",easy,1,Failed,"Skyside Hotel","Skyside Hotel: Objective #2","1","15:58:35","16:01:43",
Bot85,"Sanote",easy,27,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","15:59:55","16:02:32",
Bot85,"Sanote",easy,27,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","16:02:37","16:06:33",
Bot85,"Sanote",easy,27,Active,"Saving the Mole","Item TerraGroup scientist's hard drive","1","16:06:39","N/A",
Bot86,"Lua",easy,1,Active,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","15:59:55","N/A",
Bot89,"Boop",easy,13,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","16:01:28","16:11:44",
Bot90,"SamSWAT",easy,8,Failed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","16:01:28","16:04:36",
Bot92,"DewardianDev",easy,6,Failed,"Kyshperski","Kyshperski: Objective #3","1","16:01:28","16:02:20",
Bot91,"ObiOne",easy,13,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","16:01:28","16:02:39",
Bot98,"Савелий Базука (Belette)",hard,1,Failed,"Underground South","Underground South: Objective #2","1","16:04:13","16:04:17",
Bot98,"Савелий Базука (Belette)",hard,1,Failed,"Underground South","Underground South: Objective #1","1","16:04:22","16:10:54",
Bot100,"MechanicMan396",hard,3,Failed,"Olive Restaurant","Olive Restaurant: Objective #5","1","16:05:01","16:05:24",
Bot101,"MusicManiac",normal,6,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","16:05:10","16:05:13",
Bot101,"MusicManiac",normal,6,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","3","16:05:18","16:06:07",
Bot101,"MusicManiac",normal,6,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","16:06:12","16:12:43",
Bot102,"Borkel",normal,13,Failed,"Tarbank","Tarbank: Objective #6","1","16:05:10","16:07:07",
Bot104,"Ratthew",normal,21,Completed,"Tarbank","Tarbank: Objective #6","1","16:05:10","16:14:24",
Bot103,"1nco",normal,7,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","16:05:11","16:05:13",
Bot103,"1nco",normal,7,Pending,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","16:05:18","N/A",
Bot105,"Maxwell the cat",hard,14,Completed,"Underground Entrance","Underground Entrance: Objective #3","1","16:06:21","16:06:52",
Bot105,"Maxwell the cat",hard,14,Completed,"Underground Entrance","Underground Entrance: Objective #2","1","16:06:57","16:08:19",
Bot105,"Maxwell the cat",hard,14,Completed,"Underground Entrance","Underground Entrance: Objective #1","1","16:08:24","16:08:28",
Bot105,"Maxwell the cat",hard,14,Completed,"Underground North","Underground North: Objective #8","1","16:08:34","16:08:44",
Bot105,"Maxwell the cat",hard,14,Completed,"Underground North","Underground North: Objective #6","1","16:08:49","16:09:12",
Bot105,"Maxwell the cat",hard,14,Completed,"Underground North","Underground North: Objective #5","1","16:09:17","16:10:32",
Bot105,"Maxwell the cat",hard,14,Completed,"Underground North","Underground North: Objective #4","2","16:10:37","16:10:52",
Bot105,"Maxwell the cat",hard,14,Completed,"Underground North","Underground North: Objective #3","1","16:10:57","16:11:05",
Bot105,"Maxwell the cat",hard,14,Completed,"Underground North","Underground North: Objective #2","1","16:11:10","16:11:16",
Bot105,"Maxwell the cat",hard,14,Completed,"Underground North","Underground North: Objective #1","1","16:11:21","16:11:27",
Bot105,"Maxwell the cat",hard,14,Completed,"Underground North","Underground North: Objective #7","2","16:11:32","16:11:53",
Bot105,"Maxwell the cat",hard,14,Completed,"Skyside Hotel","Skyside Hotel: Objective #5","1","16:11:58","16:12:42",
Bot105,"Maxwell the cat",hard,14,Completed,"Skyside Hotel","Skyside Hotel: Objective #4","1","16:12:47","16:14:14",
Bot105,"Maxwell the cat",hard,14,Active,"Skyside Hotel","Skyside Hotel: Objective #3","1","16:14:19","N/A",
Bot107,"Стас Сладкоежка (Junko Space Mommy)",hard,1,Failed,"Underground North","Underground North: Objective #8","1","16:07:02","16:07:22",
Bot110,"Claus1978",hard,6,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","16:08:58","N/A",
Bot120,"TechHappy",easy,5,Failed,"Olive Restaurant","Olive Restaurant: Objective #5","1","16:12:42","16:14:07",
Bot121,"epidemicz",hard,2,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","16:13:34","16:13:37",
Bot123,"Семён Овальный (All_Heil_Lord_Pepe)",hard,1,Pending,"Capital Insight","Capital Insight: Objective #5","1","16:14:08","N/A",
