Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot122,"IhanaMies",hard,13,Active,"TerraGroup Office Upstairs Sniping","TerraGroup Office Upstairs Sniping: Objective #1","2","21:44:54","N/A",
Bot123,"ViolentAmbush",easy,11,Completed,"Tarbank","Tarbank: Objective #3","1","21:44:54","21:45:25",
Bot123,"ViolentAmbush",easy,11,Active,"Tarbank","Tarbank: Objective #4","1","21:45:30","N/A",
Bot126,"MechanicMan396",hard,2,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:44:58","21:44:59",
Bot126,"MechanicMan396",hard,2,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:45:04","21:45:28",
Bot126,"MechanicMan396",hard,2,Active,"Saving the Mole","Item TerraGroup scientist's hard drive","1","21:45:33","N/A",
Bot127,"Carl",hard,14,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:44:58","21:44:59",
Bot127,"Carl",hard,14,Pending,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:45:04","N/A",
