Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"pplatinumssEU",normal,28,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","17:47:34","17:47:36",
Bot1,"pplatinumssEU",normal,28,Active,"Boss Hunter","Spawn Point (73.8 14.1 -54.4)","1","17:47:42","N/A",
Bot2,"GrooveypenguinX",easy,11,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","17:47:34","17:48:12",
Bot3,"matt",easy,2,Completed,"Skyside Hotel","Skyside Hotel: Objective #1","1","17:47:34","17:47:39",
Bot3,"matt",easy,2,Completed,"Skyside Hotel","Skyside Hotel: Objective #3","1","17:47:44","17:48:27",
Bot3,"matt",easy,2,Completed,"Skyside Hotel","Skyside Hotel: Objective #2","1","17:48:32","17:48:42",
Bot3,"matt",easy,2,Completed,"Skyside Hotel","Skyside Hotel: Objective #4","1","17:48:47","17:49:11",
Bot3,"matt",easy,2,Completed,"Skyside Hotel","Skyside Hotel: Objective #5","1","17:49:16","17:50:11",
Bot3,"matt",easy,2,Active,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","17:50:16","N/A",
Bot4,"OutsiderH",hard,5,Pending,"Capital Insight","Capital Insight: Objective #5","2","17:47:34","N/A",
Bot7,"ShadowXtrex",hard,7,Pending,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","17:47:43","N/A",
Bot6,"Hicchy",hard,3,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","17:47:43","17:49:19",
Bot6,"Hicchy",hard,3,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","17:49:24","17:49:50",
Bot6,"Hicchy",hard,3,Active,"Saving the Mole","Item TerraGroup scientist's hard drive","1","17:49:55","N/A",
