Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Aethas",easy,8,Failed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","15:34:59","15:40:41",
Bot2,"nektoNick",easy,22,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","15:34:59","15:36:04",
Bot2,"nektoNick",easy,22,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","3","15:36:09","15:38:17",
Bot11,"Lave",hard,13,Failed,"Underground Utility Room","Underground Utility Room: Objective #1","1","15:35:08","15:37:53",
Bot10,"3371",hard,10,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","15:35:08","15:36:30",
Bot22,"Bobitec",normal,21,Failed,"Boss Hunter","Spawn Point (176.8 17.0 -6.3)","1","15:38:06","15:41:40",
Bot21,"Kiki",normal,7,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","15:38:06","15:38:10",
Bot21,"Kiki",normal,7,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #1","1","15:38:15","15:39:03",
Bot21,"Kiki",normal,7,Failed,"Mira Avenue Benches","Mira Avenue Benches: Objective #2","1","15:39:08","15:39:57",
Bot23,"AcidPhantasm",hard,8,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","15:38:21","15:41:01",
Bot27,"JustAShepard",normal,11,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","15:39:47","15:40:13",
Bot28,"PudgeNubbins",easy,11,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","15:40:02","15:40:28",
Bot31,"Cheese",easy,19,Pending,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","15:41:18","N/A",
Bot30,"ViolentAmbush",easy,10,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","15:41:18","15:41:22",
Bot30,"ViolentAmbush",easy,10,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #1","1","15:41:27","15:42:41",
Bot30,"ViolentAmbush",easy,10,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #2","1","15:42:46","15:43:25",
Bot30,"ViolentAmbush",easy,10,Pending,"Skyside Hotel","Skyside Hotel: Objective #1","1","15:43:30","N/A",
Bot33,"alias",normal,2,Active,"Luxurious Life","Item Bottle of Le Jean wine","1","15:41:46","N/A",
