Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot13,"Andrudis",easy,12,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","00:15:53","00:17:49",
Bot13,"Andrudis",easy,12,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","00:17:54","00:20:51",
Bot13,"Andrudis",easy,12,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","00:20:56","00:21:21",
Bot13,"Andrudis",easy,12,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","00:21:26","00:22:26",
Bot17,"itsMickle",normal,12,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","00:15:53","00:16:30",
Bot17,"itsMickle",normal,12,Completed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","00:16:35","00:22:07",
Bot17,"itsMickle",normal,12,Active,"Olive Restaurant","Olive Restaurant: Objective #3","1","00:22:12","N/A",
Bot14,"GopnikWarrior",normal,20,Completed,"Boss Hunter","Spawn Point (122.4 22.8 -4.2)","1","00:15:53","00:17:29",
Bot14,"GopnikWarrior",normal,20,Completed,"Boss Hunter","Spawn Point (175.1 17.0 2.2)","1","00:17:34","00:19:16",
Bot14,"GopnikWarrior",normal,20,Completed,"Boss Hunter","Spawn Point (121.8 22.8 -1.1)","1","00:19:21","00:20:46",
Bot14,"GopnikWarrior",normal,20,Completed,"Boss Hunter","Spawn Point (72.0 14.1 20.2)","1","00:20:51","00:22:50",
Bot14,"GopnikWarrior",normal,20,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","00:22:55","00:23:42",
Bot15,"kova",easy,7,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","00:15:53","00:16:21",
Bot16,"John Pork",hard,14,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","00:15:53","00:15:59",
Bot16,"John Pork",hard,14,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","00:16:04","00:18:13",
Bot21,"MedDeatH",hard,9,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","00:16:00","00:20:14",
Bot20,"riku8405",hard,4,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","00:16:00","00:17:20",
