Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"CrocodileJonesy",easy,13,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","20:29:04","20:30:29",
Bot3,"Jiro",hard,16,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","20:29:04","20:29:06",
Bot3,"Jiro",hard,16,Active,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","20:29:11","N/A",
Bot4,"MeowletteBlackpaw",normal,7,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","20:29:04","20:29:42",
Bot4,"MeowletteBlackpaw",normal,7,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","20:29:47","20:31:12",
Bot6,"AcidPhantasm",normal,9,Active,"Luxurious Life","Item Bottle of Le Jean wine","1","20:29:09","N/A",
Bot7,"JaydanCan",normal,2,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","20:29:09","20:30:29",
Bot18,"CreamCheese",hard,22,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","20:29:33","20:30:18",
Bot17,"CharlieMike",hard,4,Active,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","20:29:33","N/A",
Bot16,"Jeo",hard,6,Failed,"TerraGroup Office Upstairs Sniping","TerraGroup Office Upstairs Sniping: Objective #1","1","20:29:33","20:34:33",
Bot16,"Jeo",hard,6,Failed,"TerraGroup Office Upstairs Sniping","TerraGroup Office Upstairs Sniping: Objective #2","1","20:29:33","20:34:33",
Bot16,"Jeo",hard,6,Completed,"TerraGroup Office","TerraGroup Office: Objective #2","1","20:29:33","20:31:13",
Bot16,"Jeo",hard,6,Completed,"TerraGroup Office","TerraGroup Office: Objective #3","1","20:31:18","20:31:23",
Bot16,"Jeo",hard,6,Failed,"TerraGroup Office","TerraGroup Office: Objective #1","1","20:31:29","20:34:33",
