Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot15,"archon0ne",normal,10,Failed,"Tarbank","Tarbank: Objective #5","1","17:33:51","17:34:13",
Bot15,"archon0ne",normal,10,Completed,"Tarbank","Tarbank: Objective #6","1","17:34:18","17:34:47",
Bot15,"archon0ne",normal,10,Completed,"Tarbank","Tarbank: Objective #4","1","17:34:53","17:35:12",
Bot15,"archon0ne",normal,10,Failed,"Tarbank","Tarbank: Objective #1","1","17:35:17","17:35:17",
Bot15,"archon0ne",normal,10,Completed,"Tarbank","Tarbank: Objective #2","1","17:35:22","17:35:31",
Bot15,"archon0ne",normal,10,Active,"Tarbank","Tarbank: Objective #3","1","17:35:36","N/A",
Bot14,"Aethas",easy,4,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","17:33:51","17:34:25",
Bot14,"Aethas",easy,4,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","17:34:30","17:36:13",
Bot18,"ShadowXtrex",easy,4,Pending,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","17:33:55","N/A",
Bot17,"adudewithbadaim",easy,8,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","17:33:55","17:35:54",
Bot17,"adudewithbadaim",easy,8,Active,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","17:35:59","N/A",
Bot19,"Carl",easy,17,Completed,"Boss Hunter","Spawn Point (179.9 17.0 -7.0)","1","17:33:55","17:34:42",
Bot19,"Carl",easy,17,Active,"Boss Hunter","Spawn Point (122.4 22.8 -4.2)","1","17:34:47","N/A",
Bot20,"Barlog_M",easy,6,Pending,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","17:33:55","N/A",
Bot25,"Drill",hard,50,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","17:34:15","17:34:42",
Bot26,"TR_LEOPAR",hard,27,Pending,"Boss Hunter","Spawn Point (-4.5 23.9 -58.9)","1","17:34:15","N/A",
