Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"Winston Bustamante",easy,11,Active,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","23:23:21","N/A",
Bot2,"Normand Coon",easy,12,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","23:23:21","N/A",
Bot4,"Lance Petitt",easy,14,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","23:23:22","23:23:51",
Bot5,"Reynaldo Thielen",easy,1,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","23:23:22","23:29:50",
