Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot11,"Salvador Teran",normal,14,Active,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","23:33:52","N/A",
Bot14,"Валентин Ланцов",hard,12,Pending,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","23:33:52","N/A",
Bot17,"Фаддей Хлебов",hard,6,Pending,"Saving the Mole","Item TerraGroup scientist's hard drive","1","23:33:52","N/A",
Bot18,"Вадим Александров",hard,3,Pending,"Saving the Mole","Item TerraGroup scientist's hard drive","1","23:33:52","N/A",
Bot16,"Аркадий Семериков",hard,12,Active,"Spawn Rush","Spawn Rush: Objective #1","1","23:33:52","N/A",
Bot13,"Игнатий Сухарников",hard,10,Active,"TerraGroup Lawn","TerraGroup Lawn: Objective #2","1","23:33:52","N/A",
Bot15,"Hal Costa",easy,14,Active,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","23:33:52","N/A",
