Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot13,"archon0ne",easy,11,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","20:18:01","20:22:24",
Bot13,"archon0ne",easy,11,Failed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","1","20:22:29","20:26:08",
Bot14,"Pherik",easy,7,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","20:18:02","20:19:15",
Bot20,"HiddenCirno",hard,5,Pending,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","20:18:06","N/A",
Bot19,"Clerance",hard,2,Pending,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","20:18:06","N/A",
Bot18,"Awafrican",hard,4,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","20:18:07","20:18:44",
Bot18,"Awafrican",hard,4,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","20:18:49","20:19:54",
Bot18,"Awafrican",hard,4,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","20:19:59","20:20:23",
Bot18,"Awafrican",hard,4,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","20:20:28","20:24:09",
Bot18,"Awafrican",hard,4,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","20:24:14","N/A",
Bot21,"Basuro",normal,4,Completed,"Luxurious Life","Item Bottle of Le Jean wine","1","20:18:07","20:18:32",
Bot21,"Basuro",normal,4,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","20:18:37","20:19:08",
Bot22,"Spock",normal,9,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","20:18:07","20:20:44",
Bot23,"PreyToLive",normal,6,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","20:18:07","20:20:02",
