Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot29,"Claus1978",hard,6,Completed,"Luxurious Life","Item Bottle of Le Jean wine","1","15:27:41","15:28:42",
Bot29,"Claus1978",hard,6,Failed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #3","1","15:28:47","15:35:35",
Bot39,"Echo55",easy,2,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","15:27:46","15:28:52",
Bot38,"Arys",easy,28,Completed,"Boss Hunter","Spawn Point (-4.5 23.9 -58.9)","1","15:27:46","15:28:03",
Bot38,"Arys",easy,28,Failed,"Boss Hunter","Spawn Point (55.3 14.1 -32.4)","1","15:28:08","15:28:39",
Bot38,"Arys",easy,28,Failed,"Boss Hunter","Spawn Point (-6.3 23.9 -2.0)","1","15:28:44","15:29:15",
Bot40,"Borkel",normal,7,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","15:28:04","15:29:39",
Bot41,"Paulov",normal,6,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","15:28:04","15:29:10",
Bot42,"Crackbone",normal,11,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","15:28:04","15:28:12",
Bot42,"Crackbone",normal,11,Failed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","1","15:28:17","15:29:25",
Bot44,"Terkoiz",normal,20,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #1","1","15:28:04","15:28:16",
Bot43,"Thunderbags",normal,12,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","15:28:05","15:28:12",
Bot43,"Thunderbags",normal,12,Active,"Skyside Hotel","Skyside Hotel: Objective #4","1","15:28:18","N/A",
