Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"MechanicMan396",normal,11,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","18:57:03","18:57:05",
Bot1,"MechanicMan396",normal,11,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","18:57:10","18:58:28",
Bot1,"MechanicMan396",normal,11,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","18:58:33","18:58:51",
Bot2,"captainfoam",hard,10,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:57:04","18:59:58",
Bot3,"FlashMode",hard,6,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","18:57:04","18:57:19",
Bot3,"FlashMode",hard,6,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","18:57:24","18:57:25",
Bot3,"FlashMode",hard,6,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","18:57:30","18:58:03",
Bot4,"Bulld0z3r",normal,6,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","18:57:07","18:57:13",
Bot4,"Bulld0z3r",normal,6,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","18:57:18","18:58:40",
Bot4,"Bulld0z3r",normal,6,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","18:58:45","18:59:10",
Bot4,"Bulld0z3r",normal,6,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","18:59:15","18:59:18",
Bot4,"Bulld0z3r",normal,6,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:59:23","19:01:37",
Bot6,"_物是人非",normal,6,Completed,"Olive Restaurant","Olive Restaurant: Objective #3","1","18:57:07","18:58:21",
Bot6,"_物是人非",normal,6,Completed,"Olive Restaurant","Olive Restaurant: Objective #5","1","18:58:26","18:58:43",
Bot6,"_物是人非",normal,6,Failed,"Olive Restaurant","Olive Restaurant: Objective #4","1","18:58:48","18:58:48",
Bot6,"_物是人非",normal,6,Failed,"Olive Restaurant","Olive Restaurant: Objective #2","2","18:58:53","19:01:30",
Bot9,"matt",normal,49,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:57:20","18:58:09",
Bot9,"matt",normal,49,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:58:15","18:58:20",
Bot12,"Bepis",hard,10,Completed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:57:44","18:57:50",
Bot12,"Bepis",hard,10,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:57:55","18:58:55",
Bot16,"vampuico",hard,12,Failed,"Oasis Sniping","Oasis Sniping: Objective #3","1","19:00:53","19:02:05",
Bot16,"vampuico",hard,12,Failed,"Oasis Sniping","Oasis Sniping: Objective #2","1","19:01:08","19:02:05",
Bot17,"MusicManiac",hard,20,Failed,"Kyshperski","Kyshperski: Objective #3","1","19:00:53","19:02:07",
Bot21,"K4_a",normal,9,Completed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","19:01:42","19:06:08",
Bot21,"K4_a",normal,9,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","19:06:13","19:07:46",
Bot22,"Fiaf",normal,4,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","19:01:44","19:07:26",
Bot23,"Digi",hard,43,Failed,"Olive Restaurant","Olive Restaurant: Objective #1","1","19:02:00","19:03:58",
Bot24,"Barlog_M",normal,4,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","19:02:49","19:03:50",
