Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"Макей Крысов",normal,6,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","17:09:38","17:13:09",
Bot2,"Стас Анущенков",normal,7,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","17:09:38","17:10:06",
Bot2,"Стас Анущенков",normal,7,Active,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","17:11:06","N/A",
Bot8,"Кузьма Сунгатулин",normal,4,Pending,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #2","1","17:09:38","N/A",
Bot7,"Zoin Дыховичный",normal,3,Pending,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","17:09:38","N/A",
Bot6,"Мартын Юбкин",normal,2,Completed,"TerraGroup Office","TerraGroup Office: Objective #2","1","17:09:38","17:09:41",
Bot6,"Мартын Юбкин",normal,2,Completed,"TerraGroup Office","TerraGroup Office: Objective #3","1","17:09:46","17:10:02",
Bot6,"Мартын Юбкин",normal,2,Pending,"TerraGroup Office","TerraGroup Office: Objective #5","1","17:10:07","N/A",
Bot6,"Мартын Юбкин",normal,2,Completed,"TerraGroup Office","TerraGroup Office: Objective #4","1","17:10:57","17:11:00",
Bot6,"Мартын Юбкин",normal,2,Completed,"TerraGroup Office","TerraGroup Office: Objective #6","1","17:11:05","17:11:24",
Bot6,"Мартын Юбкин",normal,2,Completed,"TerraGroup Office","TerraGroup Office: Objective #1","1","17:11:29","17:12:10",
Bot6,"Мартын Юбкин",normal,2,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","17:12:15","17:12:23",
Bot6,"Мартын Юбкин",normal,2,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","17:12:28","17:13:39",
Bot6,"Мартын Юбкин",normal,2,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","17:13:44","17:15:35",
Bot6,"Мартын Юбкин",normal,2,Active,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","17:15:40","N/A",
Bot5,"Аркадий Науменко",easy,2,Pending,"Kyshperski","Kyshperski: Objective #2","1","17:09:38","N/A",
Bot4,"Прохор Аверин",easy,7,Completed,"Tartowers","Tartowers: Objective #3","1","17:09:39","17:10:07",
Bot4,"Прохор Аверин",easy,7,Completed,"Tartowers","Tartowers: Objective #2","1","17:10:12","17:10:43",
Bot4,"Прохор Аверин",easy,7,Active,"Tartowers","Tartowers: Objective #1","1","17:10:48","N/A",
