Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot186,"MemeG",easy,6,Completed,"Spawn Rush","Spawn Rush: Objective #1","1","16:44:14","16:45:55",
Bot186,"MemeG",easy,6,Active,"Kyshperski","Kyshperski: Objective #3","1","16:46:00","N/A",
Bot188,"Doge",hard,4,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","16:44:20","16:44:21",
Bot188,"Doge",hard,4,Pending,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","1","16:44:26","N/A",
Bot189,"Maxwell the cat",hard,24,Active,"Boss Hunter","Spawn Point (73.1 14.1 -56.5)","1","16:44:20","N/A",
Bot193,"RedBeard",normal,13,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","16:44:21","16:46:15",
Bot192,"MeowletteBlackpaw",normal,12,Failed,"Capital Insight Quest Room Camping","Capital Insight Quest Room Camping: Objective #1","1","16:44:21","16:46:31",
Bot192,"MeowletteBlackpaw",normal,12,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","16:44:21","16:44:27",
Bot192,"MeowletteBlackpaw",normal,12,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","16:44:32","16:46:31",
Bot194,"VIPkiller17",hard,14,Completed,"Olive Restaurant","Olive Restaurant: Objective #1","1","16:44:22","16:46:21",
Bot194,"VIPkiller17",hard,14,Active,"Olive Restaurant","Olive Restaurant: Objective #2","1","16:46:27","N/A",
Bot195,"Pettan",hard,9,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #1","1","16:44:22","16:44:35",
Bot198,"LunnayaLuna",easy,27,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","16:44:33","16:45:34",
Bot198,"LunnayaLuna",easy,27,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","16:45:39","16:46:05",
Bot198,"LunnayaLuna",easy,27,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","16:46:10","16:47:45",
Bot198,"LunnayaLuna",easy,27,Active,"Boss Hunter","Spawn Point (-8.4 23.9 -0.4)","1","16:47:50","N/A",
Bot199,"toaddsworth",easy,20,Pending,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","16:44:33","N/A",
Bot201,"NikitaWaifu",easy,5,Active,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","16:44:33","N/A",
Bot200,"ODT",easy,21,Active,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","16:44:34","N/A",
Bot212,"Tron",easy,12,Failed,"Underground North","Underground North: Objective #3","1","16:47:37","16:48:17",
Bot211,"lukewarmpudding",easy,5,Failed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","16:47:37","16:47:49",
