Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot19,"Мирослав Трифонов",normal,12,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","23:40:18","23:50:46",
Bot20,"Игнатий Семериков",normal,2,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","23:40:18","23:50:11",
Bot26,"Zoin Чапаев",easy,2,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","23:40:18","23:51:45",
Bot24,"boulzer Шлыков",normal,4,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","23:40:18","23:41:24",
Bot25,"Аристарх Герасимов",normal,3,Completed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","23:40:18","23:42:29",
Bot25,"Аристарх Герасимов",normal,3,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","23:42:34","23:45:50",
Bot27,"Егор Уманов",easy,10,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","23:40:18","23:45:22",
