Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Потап Бурдуковский",normal,7,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:17:18","18:20:03",
Bot1,"Михаил Мещеряков",normal,8,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:17:18","18:20:56",
Bot1,"Михаил Мещеряков",normal,8,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:21:56","18:22:51",
Bot6,"Javier Rusch",normal,11,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","18:17:18","18:17:20",
Bot6,"Javier Rusch",normal,11,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","18:17:25","18:18:17",
Bot6,"Javier Rusch",normal,11,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","18:18:22","18:18:32",
Bot6,"Javier Rusch",normal,11,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","18:18:37","18:19:24",
Bot6,"Javier Rusch",normal,11,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","18:19:29","18:20:02",
Bot6,"Javier Rusch",normal,11,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","18:20:07","18:21:43",
Bot6,"Javier Rusch",normal,11,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","18:21:48","18:21:52",
Bot6,"Javier Rusch",normal,11,Failed,"TerraGroup Office Upstairs Sniping","TerraGroup Office Upstairs Sniping: Objective #1","1","18:21:58","18:31:09",
Bot7,"Billy Couey",normal,5,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:17:19","18:18:40",
Bot5,"Rolland Havens",normal,5,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","18:17:19","18:17:39",
Bot8,"Stewart Downes",normal,4,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:17:19","18:19:19",
Bot15,"Феликс Мероприятие (Ellsworth)",normal,1,Active,"Olive Restaurant","Olive Restaurant: Objective #1","1","18:25:20","N/A",
Bot18,"Астап Шулёв",normal,10,Pending,"Safe outside of Giovanni Teducci","Safe outside of Giovanni Teducci: Objective #1","1","18:29:20","N/A",
Bot19,"Афанасий Теплов",normal,10,Pending,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:29:20","N/A",
Bot17,"Потап Абрамов",normal,11,Active,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:29:20","N/A",
