Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot16,"laser50",hard,17,Active,"Boss Hunter","Spawn Point (176.3 17.0 10.2)","1","16:07:12","N/A",
Bot17,"SamSWAT",hard,10,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","16:07:12","16:08:38",
Bot18,"Basuro",hard,8,Pending,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","16:07:12","N/A",
Bot24,"TorturedChunk",normal,12,Pending,"Underground North","Underground North: Objective #1","1","16:07:16","N/A",
Bot25,"TinglePlayerParkov",normal,6,Pending,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","16:07:16","N/A",
Bot22,"Gleneth",normal,16,Pending,"TerraGroup Garage","TerraGroup Garage: Objective #1","1","16:07:16","N/A",
Bot23,"Amands2Mello",normal,13,Pending,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","16:07:16","N/A",
Bot21,"PoppleO",normal,6,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","16:07:16","16:08:38",
