Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot95,"hacker228",hard,8,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","21:26:15","21:26:50",
Bot95,"hacker228",hard,8,Completed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","21:26:55","21:28:53",
Bot95,"hacker228",hard,8,Completed,"Tarbank","Tarbank: Objective #2","1","21:28:58","21:29:44",
Bot95,"hacker228",hard,8,Failed,"Tarbank","Tarbank: Objective #1","1","21:29:49","21:31:44",
Bot97,"Solarint",easy,9,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:26:17","21:26:18",
Bot97,"Solarint",easy,9,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","21:26:23","21:27:31",
Bot98,"Nasc",easy,9,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:26:17","21:26:18",
Bot98,"Nasc",easy,9,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","21:26:24","21:27:38",
Bot100,"DasWulf",easy,6,Active,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #1","1","21:26:17","N/A",
Bot99,"Yakhmet",easy,12,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","21:26:17","21:34:26",
Bot103,"Devraccoon",easy,2,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","21:26:24","21:28:18",
Bot103,"Devraccoon",easy,2,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","21:28:23","21:28:59",
Bot103,"Devraccoon",easy,2,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","21:29:04","21:29:51",
Bot103,"Devraccoon",easy,2,Active,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:29:56","N/A",
Bot104,"GeorgRavioli",easy,14,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #5","1","21:26:24","21:26:28",
Bot104,"GeorgRavioli",easy,14,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #4","1","21:26:33","21:37:06",
