Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"skitles55",hard,2,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","17:19:08","17:19:14",
Bot2,"skitles55",hard,2,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","17:19:19","17:19:39",
Bot2,"skitles55",hard,2,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","17:19:44","17:20:19",
Bot2,"skitles55",hard,2,Active,"Saving the Mole","Item TerraGroup scientist's hard drive","1","17:20:24","N/A",
Bot1,"gaylatea",hard,20,Active,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","17:19:08","N/A",
Bot5,"TimmyGG",normal,1,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","17:19:12","17:20:03",
Bot6,"All_Heil_Lord_Pepe",normal,7,Active,"Luxurious Life","Item Bottle of Le Jean wine","1","17:19:14","N/A",
