Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Gregorio Dahms",normal,2,Failed,"Capital Insight Sniping","Capital Insight Sniping: Objective #1","1","18:55:45","18:56:21",
Bot3,"Казимир Ипатьев",normal,10,Failed,"Tarbank","Tarbank: Objective #6","1","18:55:46","19:01:48",
Bot4,"Елизар Юсупов",normal,9,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","18:55:47","19:12:40",
Bot8,"Сильвестр Варушкин",normal,6,Completed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","18:55:51","18:59:24",
Bot8,"Сильвестр Варушкин",normal,6,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:59:29","N/A",
Bot9,"Кондратий Рыжанов",normal,2,Pending,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","18:55:52","N/A",
Bot10,"Карл Сучкин",normal,7,Pending,"Skyside Hotel","Skyside Hotel: Objective #4","1","18:55:54","N/A",
Bot11,"Пахом Беликов",normal,5,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:55:58","19:04:39",
Bot12,"Игнатий Роборовский",normal,12,Failed,"Capital Insight","Capital Insight: Objective #4","1","18:56:07","19:04:08",
Bot14,"Rudolph Ellefson",normal,4,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","19:00:53","19:04:16",
Bot19,"Эдуард Тарновецкий",normal,10,Active,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","19:07:38","N/A",
Bot20,"Тихон Калягин",normal,6,Failed,"Safe outside of Giovanni Teducci","Safe outside of Giovanni Teducci: Objective #1","1","19:07:43","19:10:53",
Bot21,"Максим Малышев",normal,5,Pending,"Capital Insight Sniping","Capital Insight Sniping: Objective #1","1","19:07:57","N/A",
Bot22,"Ефрем Фонвизин",normal,8,Pending,"Safe outside of Giovanni Teducci","Safe outside of Giovanni Teducci: Objective #1","1","19:08:11","N/A",
