Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Zurugula",easy,2,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","20:15:08","20:15:14",
Bot1,"Zurugula",easy,2,Active,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","20:15:19","N/A",
Bot2,"TimmyGG",hard,6,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","20:15:08","20:15:47",
Bot2,"TimmyGG",hard,6,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","20:15:52","N/A",
Bot6,"Katto",easy,7,Pending,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #1","1","20:15:14","N/A",
Bot5,"!Komino Style!",easy,9,Completed,"Olive Restaurant","Olive Restaurant: Objective #1","1","20:15:14","20:16:02",
Bot5,"!Komino Style!",easy,9,Pending,"Olive Restaurant","Olive Restaurant: Objective #2","1","20:16:07","N/A",
Bot8,"职业玩家",easy,16,Pending,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","20:15:16","N/A",
Bot7,"savid_dubs",easy,6,Active,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","20:15:16","N/A",
