Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Спиридон Месяц",easy,11,Active,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","00:08:06","N/A",
Bot3,"Владимир Морошкин",easy,3,Pending,"Spawn Rush","Spawn Rush: Objective #1","1","00:08:07","N/A",
Bot4,"Потап Садыков",easy,10,Pending,"Spawn Rush","Spawn Rush: Objective #1","1","00:08:08","N/A",
Bot5,"Глеб Меркушев",easy,7,Pending,"Spawn Rush","Spawn Rush: Objective #1","1","00:08:09","N/A",
Bot6,"Фёдор Маринин",easy,2,Pending,"Spawn Rush","Spawn Rush: Objective #1","1","00:08:12","N/A",
Bot7,"Семён Малыхин",normal,8,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","00:08:18","00:08:25",
Bot7,"Семён Малыхин",normal,8,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","00:09:26","00:14:19",
Bot8,"Pat Siemens",hard,10,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","00:08:18","00:16:26",
Bot8,"Pat Siemens",hard,10,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","00:17:26","00:33:05",
Bot17,"Сильвестр Будаев",normal,9,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","00:13:18","00:13:35",
Bot21,"Зураб Чужой (Bennie)",easy,1,Active,"Tarbank","Tarbank: Objective #2","1","00:18:28","N/A",
Bot22,"Aldo Gelb",hard,12,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","00:18:33","00:18:36",
Bot22,"Aldo Gelb",hard,12,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","3","00:18:41","00:24:24",
Bot24,"Russel Springs",normal,10,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","00:20:18","00:20:39",
Bot24,"Russel Springs",normal,10,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","00:20:44","00:21:28",
Bot24,"Russel Springs",normal,10,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","00:21:33","00:30:17",
Bot24,"Russel Springs",normal,10,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","00:22:15","00:22:36",
Bot24,"Russel Springs",normal,10,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","00:22:41","00:30:17",
Bot28,"Шингис Неудачник (Kurt)",normal,1,Pending,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","00:25:43","N/A",
Bot28,"Шингис Неудачник (Kurt)",normal,1,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","00:39:08","N/A",
Bot33,"Женя Шайтан (Michael)",normal,1,Completed,"Underground North","Underground North: Objective #8","1","00:30:49","00:35:02",
Bot33,"Женя Шайтан (Michael)",normal,1,Completed,"Underground North","Underground North: Objective #6","1","00:35:07","00:35:27",
Bot33,"Женя Шайтан (Michael)",normal,1,Pending,"Underground North","Underground North: Objective #5","1","00:35:32","N/A",
Bot33,"Женя Шайтан (Michael)",normal,1,Pending,"Underground North","Underground North: Objective #4","2","00:36:00","N/A",
Bot34,"Прохор Бутовский (Gary)",easy,1,Completed,"Underground South","Underground South: Objective #1","1","00:32:22","00:32:39",
Bot34,"Прохор Бутовский (Gary)",easy,1,Completed,"Underground South","Underground South: Objective #2","1","00:32:44","00:32:50",
Bot34,"Прохор Бутовский (Gary)",easy,1,Active,"Underground South","Underground South: Objective #3","1","00:32:55","N/A",
Bot36,"Гарри Ловелас (Emil)",normal,1,Completed,"Safe outside of Giovanni Teducci","Safe outside of Giovanni Teducci: Objective #1","1","00:34:03","00:34:11",
