Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot12,"BlackDeathGER",easy,9,Active,"Spawn Rush","Spawn Rush: Objective #1","1","18:49:18","N/A",
Bot13,"ChiNoel",normal,7,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","18:49:18","18:49:29",
Bot13,"ChiNoel",normal,7,Active,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","18:49:34","N/A",
Bot14,"WillDaPope",normal,8,Completed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","18:49:18","18:49:40",
Bot14,"WillDaPope",normal,8,Failed,"Underground North","Underground North: Objective #8","1","18:49:45","18:50:24",
Bot14,"WillDaPope",normal,8,Active,"Underground North","Underground North: Objective #6","1","18:50:29","N/A",
Bot15,"Hupfi",hard,6,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","18:49:18","18:50:07",
Bot15,"Hupfi",hard,6,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","18:50:12","18:50:17",
Bot15,"Hupfi",hard,6,Active,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","18:50:22","N/A",
Bot16,"Carl",normal,10,Active,"Capital Insight","Capital Insight: Objective #5","1","18:49:18","N/A",
Bot17,"Arokar",normal,18,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:49:18","18:49:59",
Bot19,"jiblet",easy,14,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","18:49:18","18:50:19",
Bot18,"CheekiBreeki",easy,14,Active,"Olive Restaurant Sniping","Olive Restaurant Sniping: Objective #1","1","18:49:18","N/A",
