Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot36,"PhantomInTime",easy,11,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #1","1","18:00:53","18:01:04",
Bot36,"PhantomInTime",easy,11,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #2","1","18:01:09","18:01:31",
Bot36,"PhantomInTime",easy,11,Completed,"Skyside Hotel","Skyside Hotel: Objective #1","1","18:01:36","18:02:01",
Bot36,"PhantomInTime",easy,11,Completed,"Skyside Hotel","Skyside Hotel: Objective #3","1","18:02:06","18:02:19",
Bot36,"PhantomInTime",easy,11,Completed,"Skyside Hotel","Skyside Hotel: Objective #2","1","18:02:24","18:03:03",
Bot36,"PhantomInTime",easy,11,Completed,"Skyside Hotel","Skyside Hotel: Objective #4","1","18:03:08","18:04:09",
Bot36,"PhantomInTime",easy,11,Failed,"Skyside Hotel","Skyside Hotel: Objective #5","1","18:04:14","18:06:18",
Bot37,"Anthal",hard,10,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","18:00:53","18:01:43",
Bot42,"Wrecker",hard,12,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","18:00:57","18:03:45",
Bot43,"KittehKun",hard,3,Failed,"TerraGroup Garage","TerraGroup Garage: Objective #1","1","18:00:57","18:04:56",
Bot41,"SamSWAT",hard,13,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","18:00:57","18:01:03",
Bot41,"SamSWAT",hard,13,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","18:01:08","18:08:11",
Bot49,"adudewithbadaim",easy,12,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","18:01:12","18:03:34",
Bot47,"DanW",easy,8,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:01:12","18:03:26",
Bot48,"Sanote",easy,1,Failed,"Olive Restaurant","Olive Restaurant: Objective #1","1","18:01:12","18:03:58",
Bot59,"Тима Шкаф (GGaulin)",normal,1,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","18:07:57","18:08:12",
