Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Jere Whitesides",normal,2,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","17:28:16","17:28:18",
Bot1,"Jere Whitesides",normal,2,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","17:28:23","17:28:50",
Bot1,"Jere Whitesides",normal,2,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","17:28:55","17:29:13",
Bot1,"Jere Whitesides",normal,2,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","17:29:18","17:30:39",
Bot6,"Илья Филипов",hard,7,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #2","1","17:28:16","17:33:17",
Bot7,"Роман Репин",easy,1,Completed,"Underground North","Underground North: Objective #2","1","17:28:16","17:28:19",
Bot7,"Роман Репин",easy,1,Completed,"Underground North","Underground North: Objective #3","1","17:28:24","17:28:31",
Bot7,"Роман Репин",easy,1,Completed,"Underground North","Underground North: Objective #4","2","17:28:36","17:28:50",
Bot7,"Роман Репин",easy,1,Completed,"Underground North","Underground North: Objective #5","1","17:28:55","17:29:20",
Bot7,"Роман Репин",easy,1,Pending,"Underground North","Underground North: Objective #6","1","17:29:25","N/A",
Bot3,"Семён Силаев",hard,4,Pending,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","17:28:16","N/A",
Bot5,"Феликс Волошин",hard,1,Pending,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","17:28:16","N/A",
Bot9,"Vincenzo Bachus",normal,5,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","17:28:16","17:28:33",
Bot8,"Тимофей Патрушев",easy,8,Pending,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","17:28:16","N/A",
Bot4,"Станислав Осминин",hard,11,Pending,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #8","1","17:28:16","N/A",
