Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot153,"snapple",easy,10,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","21:58:16","21:58:47",
Bot153,"snapple",easy,10,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","21:58:52","21:59:40",
Bot153,"snapple",easy,10,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","21:59:45","22:00:06",
Bot153,"snapple",easy,10,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","22:00:11","22:00:38",
Bot153,"snapple",easy,10,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:00:43","22:02:01",
Bot157,"igorir3",normal,2,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:58:22","21:59:06",
Bot158,"Mattdokn",normal,24,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","21:58:22","21:59:37",
Bot159,"DevilFlippy",normal,10,Failed,"Underground North","Underground North: Objective #8","1","21:58:22","22:02:05",
Bot160,"Maksim Petrov",normal,44,Failed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #1","2","21:58:23","22:01:04",
Bot164,"SamSWAT",easy,2,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:58:35","21:58:37",
Bot164,"SamSWAT",easy,2,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","21:58:42","22:00:45",
Bot164,"SamSWAT",easy,2,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","22:00:50","22:01:01",
Bot164,"SamSWAT",easy,2,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:01:06","22:01:28",
Bot165,"TinglePlayerParkov",easy,9,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:58:35","21:58:37",
Bot165,"TinglePlayerParkov",easy,9,Completed,"Luxurious Life","Item Bottle of Le Jean wine","1","21:58:42","22:15:32",
Bot165,"TinglePlayerParkov",easy,9,Completed,"Underground North","Underground North: Objective #8","1","22:15:37","22:18:45",
Bot165,"TinglePlayerParkov",easy,9,Completed,"Underground North","Underground North: Objective #6","1","22:18:50","22:19:44",
Bot165,"TinglePlayerParkov",easy,9,Failed,"Underground North","Underground North: Objective #5","1","22:19:49","22:24:02",
Bot165,"TinglePlayerParkov",easy,9,Completed,"Underground North","Underground North: Objective #4","2","22:20:15","22:20:38",
Bot165,"TinglePlayerParkov",easy,9,Completed,"Underground North","Underground North: Objective #3","1","22:20:43","22:20:48",
Bot165,"TinglePlayerParkov",easy,9,Completed,"Underground North","Underground North: Objective #2","1","22:20:53","22:22:07",
Bot165,"TinglePlayerParkov",easy,9,Completed,"Underground North","Underground North: Objective #1","1","22:22:12","22:22:23",
Bot165,"TinglePlayerParkov",easy,9,Failed,"Underground North","Underground North: Objective #7","1","22:22:28","22:24:02",
Bot166,"Swankyorc",easy,16,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:58:35","22:14:14",
