[2024-06-12T15:04:02.356Z] debug: 	Added custom boss wave to woods of type sptUsec, time: -1, chance: 25, zone: ZoneClearVill
[2024-06-12T15:04:02.356Z] debug: 	Added custom boss wave to shoreline of type sptBear, time: -1, chance: 20, zone: ZonePort
[2024-06-12T15:04:02.356Z] debug: 	Added custom boss wave to shoreline of type sptUsec, time: -1, chance: 20, zone: ZonePort
[2024-06-12T15:04:02.356Z] debug: 	Added custom boss wave to shoreline of type sptUsec, time: -1, chance: 10, zone: ZoneSanatorium1
[2024-06-12T15:04:02.356Z] debug: 	Added custom boss wave to shoreline of type sptBear, time: -1, chance: 10, zone: ZoneSanatorium1
[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to shoreline of type sptUsec, time: -1, chance: 10, zone: ZoneSanatorium2
[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to shoreline of type sptBear, time: -1, chance: 10, zone: ZoneSanatorium2
[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to laboratory of type sptBear, time: -1, chance: 30, zone: BotZoneFloor1
[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to laboratory of type sptBear, time: -1, chance: 30, zone: BotZoneFloor2
[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to laboratory of type sptBear, time: -1, chance: 30, zone: BotZoneBasement
[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to laboratory of type sptUsec, time: -1, chance: 30, zone: BotZoneFloor1
[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to laboratory of type sptUsec, time: -1, chance: 30, zone: BotZoneFloor2
[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to laboratory of type sptUsec, time: -1, chance: 30, zone: BotZoneBasement
[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to interchange of type sptBear, time: -1, chance: 15, zone: ZoneCenter,ZoneCenterBot,ZoneOLI,ZoneIDEA,ZoneGoshan,ZonePowerStation
[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to interchange of type sptUsec, time: -1, chance: 15, zone: ZoneCenter,ZoneCenterBot,ZoneOLI,ZoneIDEA,ZoneGoshan,ZonePowerStation
[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to lighthouse of type sptBear, time: -1, chance: 15, zone: Zone_Village,Zone_Chalet,Zone_DestroyedHouse,Zone_Rocks,Zone_OldHouse
[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to lighthouse of type sptUsec, time: -1, chance: 15, zone: Zone_Village,Zone_Chalet,Zone_DestroyedHouse,Zone_Rocks,Zone_OldHouse
[2024-06-12T15:04:02.357Z] debug: 	Added custom boss wave to rezervbase of type sptBear, time: -1, chance: 15, zone: ZoneBarrack,ZonePTOR1,ZonePTOR2,ZoneSubCommand,ZoneSubStorage,ZoneRailStrorage
